物件名,アクセス1,アクセス2,所在地,築年数,建物の階数,賃料,管理費,敷金,礼金,仲介金,部屋の階数,間取り,面積,方角
【空室2件】 綾東ヴィレッジ弐番館,東京メトロ千代田線 綾瀬駅 徒歩11分,つくばエクスプレス 青井駅 徒歩7分,東京都足立区綾瀬６丁目,1991年9月(築32年),6階建,"159,000円","管理費15,000円",15.9万円,無料,無料,405号室,2LDK,66.19㎡,南
【空室1件】 フェリーチェ錦糸町,ＪＲ総武線 錦糸町駅 徒歩7分,東京メトロ半蔵門線 住吉駅 徒歩8分,東京都墨田区江東橋２丁目,2022年2月(築1年),15階建,"106,000円","管理費10,000円",10.6万円,無料,無料,1402号室,2K,25.6㎡,北
【空室1件】 堀切菖蒲園戸建,京成本線 堀切菖蒲園駅 徒歩8分,東京メトロ千代田線 綾瀬駅 徒歩19分,東京都葛飾区堀切６丁目,1985年10月(築38年),2階建,"148,000円",管理費0円,14.8万円,無料,無料,1号室,3DK,70.36㎡,南
【空室1件】 西池袋ローヤルコーポ,東京メトロ千代田線 綾瀬駅 徒歩19分,,東京都豊島区西池袋５丁目,1978年7月(築45年),9階建,"140,000円","管理費15,000円",28.0万円,14.0万円,"88,000円",601号室,2LDK,57.75㎡,東
【空室1件】 ドルメン五反田,東急池上線 戸越銀座駅 徒歩9分,ＪＲ山手線 五反田駅 徒歩12分,東京都品川区西五反田６丁目,1981年6月(築42年),10階建,"108,000円","管理費10,000円",10.8万円,10.8万円,無料,０４０２号室,2DK,41.39㎡,北西
【空室1件】 Ｋｏｌｅｔ堀切菖蒲園＃０６,ＪＲ山手線 五反田駅 徒歩12分,,東京都葛飾区堀切２丁目,2023年4月(新築),3階建,"194,000円",管理費0円,19.4万円,19.4万円,無料,-号室,2SLDK,70.55㎡,北
【空室1件】 小梅マンション,西武池袋線 桜台駅 徒歩2分,西武有楽町線 新桜台駅 徒歩10分,東京都練馬区桜台４丁目,1975年2月(築48年),4階建,"72,000円","管理費3,000円",7.2万円,無料,無料,402号室,2K,30㎡,南
【空室1件】 エクセル５１８Ａ棟,ＪＲ京浜東北・根岸線 蒲田駅 徒歩5分,東急池上線 蓮沼駅 徒歩8分,東京都大田区西蒲田５丁目,1990年3月(築33年),2階建,"85,000円","管理費3,000円",無料,無料,無料,206号室,2DK,37.26㎡,南
【空室1件】 けやき通り北八番館,東京メトロ日比谷線 南千住駅 徒歩16分,東京メトロ日比谷線 南千住駅 バス7分 汐入公園前下車 徒歩1分,東京都荒川区南千住８丁目,1992年7月(築31年),10階建,"110,000円",管理費0円,11.0万円,無料,無料,909号室,2DK,49.39㎡,東
【空室1件】 ドゥーエ大鳥居WEST,東京メトロ日比谷線 南千住駅 バス7分 汐入公園前下車 徒歩1分,,東京都大田区西糀谷２丁目,2021年11月(築2年),5階建,"106,000円","管理費8,000円",10.6万円,10.6万円,無料,308号室,2K,25.61㎡,西
【空室1件】 ハオスローレライ,都営新宿線 篠崎駅 徒歩6分,都営新宿線 瑞江駅 徒歩30分,東京都江戸川区上篠崎４丁目,1998年2月(築25年),8階建,"78,000円","管理費6,000円",7.8万円,無料,無料,405号室,2K,39.75㎡,南
【空室1件】 サンライズ入谷,東京メトロ日比谷線 入谷駅 徒歩7分,東京メトロ日比谷線 三ノ輪駅 徒歩8分,東京都台東区下谷３丁目,1974年10月(築49年),11階建,"88,000円",管理費0円,8.8万円,8.8万円,"88,000円",903号室,2K,38㎡,東
【空室1件】 ライオンズマンション東品川,京急本線 新馬場駅 徒歩8分,東京臨海高速鉄道りんかい線 天王洲アイル駅 徒歩12分,東京都品川区東品川３丁目,1980年6月(築43年),11階建,"138,000円","管理費12,000円",13.8万円,13.8万円,無料,０６１５号室,3DK,58.84㎡,南東
【空室1件】 パーク・サイド関,東京メトロ千代田線 根津駅 徒歩8分,ＪＲ山手線 鶯谷駅 徒歩10分,東京都台東区上野桜木１丁目,1987年4月(築36年),3階建,"145,000円","管理費5,000円",14.5万円,14.5万円,無料,303号室,2DK,38.8㎡,南
【空室1件】 ドミール四ツ木,京成押上線 四ツ木駅 徒歩6分,京成押上線 京成立石駅 徒歩15分,東京都葛飾区東四つ木４丁目,1989年3月(築34年),5階建,"123,000円","管理費7,000円",12.3万円,無料,無料,405号室,3DK,52.8㎡,南
【空室1件】 パークアクシス新板橋イースト,ＪＲ埼京線 板橋駅 徒歩9分,都営三田線 新板橋駅 徒歩2分,東京都板橋区板橋４丁目,2007年2月(築16年),14階建,"190,000円","管理費10,000円",19.0万円,無料,無料,1403号室,2LDK,54.99㎡,南
【空室1件】 ルネ・ビバリー２,東急多摩川線 武蔵新田駅 徒歩6分,東急多摩川線 下丸子駅 徒歩6分,東京都大田区下丸子２丁目,1989年12月(築34年),3階建,"87,000円","管理費3,000円",8.7万円,8.7万円,無料,303号室,2DK,39.15㎡,北東
【空室1件】 豊電ビル,ＪＲ山手線 高田馬場駅 徒歩4分,東京メトロ副都心線 西早稲田駅 徒歩7分,東京都新宿区高田馬場,1983年4月(築40年),8階建,"168,000円","管理費5,000円",16.8万円,16.8万円,"88,000円",601号室,3LDK,73.41㎡,南
【空室1件】 ピア・グランデ弐番館,西武池袋線 大泉学園駅 バス12分 西長久保下車 徒歩3分,東京メトロ有楽町線 地下鉄成増駅 バス12分 西長久保下車 徒歩3分,東京都練馬区大泉学園町７丁目,1992年10月(築31年),3階建,"108,500円","管理費6,000円",10.8万円,無料,無料,00311号室,3DK,66.67㎡,-
【空室1件】 コーポクロスティア,東京メトロ千代田線 綾瀬駅 徒歩7分,つくばエクスプレス 青井駅 徒歩12分,東京都足立区綾瀬４丁目,1987年1月(築36年),2階建,"65,000円","管理費2,000円",無料,無料,"71,000円",106号室,2DK,27.13㎡,-
【空室1件】 らいとあっぷ,つくばエクスプレス 青井駅 徒歩12分,,東京都練馬区南大泉３丁目,1997年2月(築26年),2階建,"150,000円",管理費0円,15.0万円,無料,無料,EB号室,3LDK,75.48㎡,-
【空室1件】 シャンポールサカエ,ＪＲ京浜東北・根岸線 東十条駅 徒歩6分,ＪＲ埼京線 十条駅 徒歩12分,東京都北区中十条３丁目,1987年1月(築36年),2階建,"76,000円","管理費3,000円",7.6万円,無料,無料,202号室,2DK,30.92㎡,西
【空室1件】 千石きむらビル,ＪＲ埼京線 十条駅 徒歩12分,,東京都葛飾区亀有,1992年1月(築31年),4階建,"95,000円","管理費4,000円",無料,無料,無料,301号室,2DK,51.1㎡,西
【空室1件】 リメゾン大島,都営新宿線 東大島駅 徒歩5分,都営新宿線 大島駅 徒歩12分,東京都江東区大島,1981年4月(築42年),2階建,"145,000円",管理費0円,21.8万円,14.5万円,"88,000円",1号室,2LDK,41.25㎡,南
【空室1件】 グランドメゾン田町,ＪＲ山手線 田町駅 徒歩10分,新交通ゆりかもめ 芝浦ふ頭駅 徒歩10分,東京都港区芝浦２丁目,1983年1月(築40年),14階建,"195,000円",管理費0円,19.5万円,19.5万円,"88,000円",０５１８号室,2DK,51.41㎡,北西
【空室1件】 大泉学園町五丁目戸建,西武池袋線 大泉学園駅 バス8分 大泉郵便局下車 徒歩9分,西武池袋線 大泉学園駅 徒歩28分,東京都練馬区大泉学園町５丁目,1966年10月(築57年),2階建,"85,000円",管理費0円,8.5万円,無料,無料,1号室,2LDK,46.91㎡,北
【空室2件】 グランセピア日暮里,ＪＲ常磐線 三河島駅 徒歩4分,ＪＲ山手線 日暮里駅 徒歩9分,東京都荒川区東日暮里６丁目,1989年10月(築34年),8階建,"122,000円","管理費14,000円",12.2万円,12.2万円,無料,308号室,2DK,44.2㎡,南
【空室2件】 グランセピア日暮里,ＪＲ常磐線 三河島駅 徒歩4分,ＪＲ山手線 日暮里駅 徒歩9分,東京都荒川区東日暮里６丁目,1989年10月(築34年),8階建,"120,000円","管理費14,000円",12.0万円,12.0万円,無料,702号室,2DK,46.4㎡,東
【空室2件】 ユーコート白山,都営三田線 白山駅 徒歩10分,東京メトロ丸ノ内線 茗荷谷駅 徒歩10分,東京都文京区白山２丁目,1985年2月(築38年),5階建,"195,000円","管理費5,000円",19.5万円,無料,"88,000円",502号室,2LDK,51.91㎡,南
【空室2件】 ユーコート白山,都営三田線 白山駅 徒歩10分,東京メトロ丸ノ内線 茗荷谷駅 徒歩10分,東京都文京区白山２丁目,1985年2月(築38年),5階建,"193,000円","管理費5,000円",19.3万円,無料,"88,000円",203号室,3LDK,64㎡,南
【空室1件】 三園さえぐさマンション,都営三田線 西高島平駅 徒歩5分,東武東上線 成増駅 徒歩25分,東京都板橋区三園１丁目,1991年3月(築32年),4階建,"72,000円","管理費3,000円",7.2万円,無料,無料,401号室,2K,31.3㎡,南
【空室1件】 ライオンズマンション東陽町第３,東京メトロ東西線 東陽町駅 徒歩6分,東京メトロ東西線 南砂町駅 徒歩7分,東京都江東区南砂２丁目,1986年7月(築37年),12階建,"188,000円","管理費10,000円",18.8万円,18.8万円,"88,000円",０９０５号室,3LDK,62.44㎡,南
【空室1件】 足立区島根戸建,東武伊勢崎線 梅島駅 徒歩19分,東京メトロ日比谷線 北千住駅 バス10分 島根町下車 徒歩1分,東京都足立区島根２丁目,1974年4月(築49年),2階建,"119,500円",管理費0円,11.9万円,無料,"88,000円",1号室,2LDK,49.77㎡,北西
【空室1件】 南馬込ハイツ B,都営浅草線 西馬込駅 徒歩10分,都営浅草線 馬込駅 徒歩21分,東京都大田区南馬込６丁目,1987年3月(築36年),2階建,"68,000円",管理費0円,6.8万円,無料,無料,B202号室,2K,29.8㎡,南東
【空室1件】 スカイタウン沼袋,西武新宿線 沼袋駅 徒歩2分,西武新宿線 新井薬師前駅 徒歩13分,東京都中野区沼袋３丁目,1987年11月(築36年),3階建,"112,000円","管理費5,000円",11.2万円,無料,"88,000円",205号室,2DK,39.45㎡,南東
【空室1件】 サンモール鈴木,西武新宿線 新井薬師前駅 徒歩13分,,東京都杉並区和泉４丁目,1988年4月(築35年),6階建,"99,000円","管理費9,000円",9.9万円,9.9万円,無料,502号室,2K,39.6㎡,南
【空室1件】 パレ洗足池,西武新宿線 新井薬師前駅 徒歩13分,,東京都大田区南千束２丁目,1996年5月(築27年),4階建,"142,000円","管理費6,000円",14.2万円,14.2万円,"88,000円",205号室,2LDK,55.11㎡,-
【空室1件】 コーポハーベスト,西武新宿線 新井薬師前駅 徒歩13分,,東京都江戸川区船堀,1997年1月(築26年),3階建,"84,000円","管理費3,000円",8.4万円,無料,無料,203号室,2DK,38.88㎡,南東
【空室1件】 飯村ビル,ＪＲ山手線 田端駅 徒歩10分,日暮里舎人ライナー 赤土小学校前駅 徒歩4分,東京都荒川区東尾久４丁目,1962年1月(築61年),3階建,"70,000円",管理費0円,7.0万円,7.0万円,無料,202号室,2DK,35.47㎡,南
【空室1件】 プロト大岡山Ⅱ,東急大井町線 大岡山駅 徒歩9分,東急目黒線 洗足駅 徒歩11分,東京都目黒区南３丁目,2019年8月(築4年),3階建,"149,000円","管理費15,000円",無料,無料,無料,203号室,2K,41.23㎡,北東
【空室1件】 Ｔ’ｓ　ｇａｒｄｅｎ西小山,東急目黒線 西小山駅 徒歩5分,東急目黒線 武蔵小山駅 徒歩9分,東京都目黒区目黒本町５丁目,2013年8月(築10年),4階建,"153,000円","管理費5,000円",15.3万円,15.3万円,無料,304号室,2DK,40.12㎡,西
【空室1件】 グリーンハイム平成,東急目黒線 武蔵小山駅 徒歩9分,,東京都足立区千住緑町２丁目,1989年7月(築34年),5階建,"89,000円","管理費14,000円",8.9万円,8.9万円,無料,204号室,2LDK,46.6㎡,東
【空室1件】 南大塚戸建,東京メトロ丸ノ内線 新大塚駅 徒歩8分,ＪＲ山手線 大塚駅 徒歩13分,東京都豊島区南大塚１丁目,1978年1月(築45年),2階建,"190,000円",管理費0円,19.0万円,19.0万円,無料,0号室,2LDK,80.59㎡,南
【空室1件】 ステイツ青戸,ＪＲ山手線 大塚駅 徒歩13分,,東京都葛飾区青戸３丁目,1988年6月(築35年),10階建,"75,000円","管理費3,000円",7.5万円,無料,無料,703号室,2K,39㎡,北西
【空室1件】 西ヶ原戸建,ＪＲ山手線 駒込駅 徒歩6分,ＪＲ京浜東北・根岸線 上中里駅 徒歩10分,東京都北区西ケ原１丁目,2000年1月(築23年),2階建,"157,000円",管理費0円,15.7万円,15.7万円,"88,000円",A号室,2LDK,57.96㎡,南西
【空室1件】 ノースヒルズ平和台,東京メトロ有楽町線 平和台駅 徒歩5分,東京メトロ副都心線 地下鉄赤塚駅 徒歩14分,東京都練馬区北町７丁目,1993年4月(築30年),3階建,"90,000円",管理費0円,9.0万円,9.0万円,無料,201号室,2DK,40㎡,東
【空室1件】 フジマンション,東京メトロ東西線 落合駅 徒歩7分,都営大江戸線 中井駅 徒歩7分,東京都新宿区上落合３丁目,2007年5月(築16年),3階建,"100,000円","管理費5,000円",10.0万円,無料,"33,000円",103号室,2K,35㎡,北
【空室1件】 足立区六町１丁目戸建５,つくばエクスプレス 六町駅 徒歩5分,東京メトロ千代田線 北綾瀬駅 徒歩17分,東京都足立区六町１丁目,2022年5月(築1年),2階建,"190,000円",管理費0円,19.0万円,9.5万円,"88,000円",1号室,3LDK,86.53㎡,南
【空室1件】 メゾン美羅樹ＩＩ,東京メトロ丸ノ内線 新高円寺駅 徒歩5分,ＪＲ中央本線 高円寺駅 徒歩15分,東京都杉並区梅里１丁目,1991年5月(築32年),3階建,"125,000円","管理費8,000円",12.5万円,12.5万円,"20,000円",102号室,2DK,44.72㎡,南
【空室1件】 グリーンアレイ,東京メトロ丸ノ内線 新中野駅 徒歩5分,東京メトロ丸ノ内線 中野新橋駅 徒歩7分,東京都中野区本町４丁目,2007年11月(築16年),3階建,"124,000円","管理費5,000円",24.8万円,無料,"88,000円",003号室,2K,40.55㎡,南
【空室1件】 リバーサイド小泉,日暮里舎人ライナー 足立小台駅 徒歩10分,都電荒川線 小台駅 徒歩7分,東京都足立区小台２丁目,1989年5月(築34年),4階建,"75,000円","管理費2,000円",7.5万円,7.5万円,無料,301号室,2K,35.23㎡,東
【空室1件】 ミリアレジデンス早稲田山吹町,東京メトロ有楽町線 江戸川橋駅 徒歩6分,東京メトロ東西線 早稲田駅 徒歩13分,東京都新宿区山吹町,2017年2月(築6年),5階建,"180,000円","管理費10,000円",無料,無料,無料,102号室,2DK,46.08㎡,南
【空室1件】 シャトレー富士,京王線 代田橋駅 徒歩3分,京王線 笹塚駅 徒歩9分,東京都世田谷区大原２丁目,1985年1月(築38年),3階建,"99,000円","管理費4,000円",9.9万円,9.9万円,無料,103号室,2DK,35.64㎡,南西
【空室1件】 メゾンハギワラ,西武新宿線 野方駅 徒歩10分,ＪＲ総武線 高円寺駅 徒歩13分,東京都中野区野方２丁目,2001年3月(築22年),7階建,"86,000円","管理費4,000円",8.6万円,8.6万円,無料,305号室,2K,26㎡,東
【空室1件】 ジョイ深沢,東急大井町線 等々力駅 徒歩14分,東急田園都市線 駒沢大学駅 バス12分 園芸高校前下車 徒歩2分,東京都世田谷区深沢５丁目,1991年2月(築32年),2階建,"86,000円","管理費3,000円",8.6万円,無料,無料,101号室,2K,37.26㎡,南東
【空室1件】 リバーピアカネコ,京成本線 江戸川駅 徒歩3分,ＪＲ総武線 小岩駅 徒歩22分,東京都江戸川区北小岩３丁目,1996年11月(築27年),3階建,"73,000円","管理費4,000円",無料,無料,仲介手数料 ,102号室,2DK,45.64㎡,-
【空室1件】 メゾンアルモニー,都営新宿線 篠崎駅 バス6分 鹿骨下車 徒歩4分,ＪＲ総武線 小岩駅 徒歩31分,東京都江戸川区鹿骨５丁目,2003年4月(築20年),3階建,"90,000円","管理費3,000円",9.0万円,無料,"9,000円",303号室,2DK,49.9㎡,西
【空室1件】 アーベンライフ中葛西,ＪＲ総武線 小岩駅 徒歩31分,,東京都江戸川区中葛西,1987年3月(築36年),4階建,"90,000円","管理費5,000円",9.0万円,無料,無料,301号室,2DK,42.52㎡,南西
【空室1件】 ルミエール綾瀬,東京メトロ千代田線 綾瀬駅 徒歩3分,つくばエクスプレス 青井駅 徒歩20分,東京都足立区綾瀬３丁目,1991年6月(築32年),6階建,"100,000円","管理費5,000円",無料,無料,"88,000円",606号室,2DK,42.02㎡,東
【空室1件】 タウンハウスアサベール,ＪＲ中央線 阿佐ヶ谷駅 徒歩10分,東京メトロ丸ノ内線 南阿佐ヶ谷駅 徒歩7分,東京都杉並区阿佐谷南１丁目,1987年12月(築36年),2階建,"110,000円",管理費0円,11.0万円,11.0万円,無料,103号室,2DK,35.6㎡,南東
【空室1件】 ベルハウス,都営浅草線 中延駅 徒歩3分,東急大井町線 戸越公園駅 徒歩7分,東京都品川区豊町６丁目,1979年11月(築44年),2階建,"98,000円","管理費2,000円",9.8万円,9.8万円,無料,201号室,2DK,36㎡,南
【空室1件】 ＫＤＸレジデンス上北沢,京王線 上北沢駅 徒歩6分,京王線 八幡山駅 徒歩7分,東京都世田谷区上北沢４丁目,2002年2月(築21年),10階建,"160,000円","管理費10,000円",16.0万円,16.0万円,無料,0601号室,2LDK,50.53㎡,南
【空室1件】 モアステージ赤羽,ＪＲ埼京線 北赤羽駅 徒歩5分,東京メトロ南北線 赤羽岩淵駅 徒歩13分,東京都北区赤羽北１丁目,1997年4月(築26年),10階建,"149,000円","管理費10,000円",14.9万円,29.8万円,無料,0302号室,3LDK,60㎡,南
【空室1件】 東矢口APARTMENT,東急池上線 蓮沼駅 徒歩6分,東急池上線 池上駅 徒歩9分,東京都大田区東矢口１丁目,1979年12月(築44年),2階建,"115,000円",管理費0円,11.5万円,無料,"88,000円",201号室,2DK,41.31㎡,南西
【空室1件】 Weave Place Monzennakacho,東京メトロ東西線 門前仲町駅 徒歩6分,都営大江戸線 門前仲町駅 徒歩6分,東京都江東区深川２丁目,2023年3月(新築),9階建,"142,000円","管理費12,000円",無料,無料,無料,00203号室,2K,31.67㎡,西
【空室1件】 コーポつくば,東京メトロ千代田線 綾瀬駅 徒歩10分,つくばエクスプレス 青井駅 徒歩24分,東京都足立区東綾瀬１丁目,1987年1月(築36年),2階建,"54,000円",管理費0円,無料,無料,"44,000円",201号室,2K,28.98㎡,西
【空室1件】 ホームズ山王,ＪＲ京浜東北・根岸線 大森駅 徒歩5分,京急本線 大森海岸駅 徒歩13分,東京都大田区山王３丁目,1986年4月(築37年),5階建,"125,000円",管理費0円,25.0万円,無料,"88,000円",306号室,2DK,44.75㎡,-
【空室1件】 レクセル五反野,東武伊勢崎線 五反野駅 徒歩6分,つくばエクスプレス 青井駅 徒歩27分,東京都足立区足立４丁目,1994年2月(築29年),8階建,"115,000円",管理費0円,11.5万円,11.5万円,"88,000円",０１０４号室,3DK,51.83㎡,南
【空室1件】 テック上落合,西武新宿線 下落合駅 徒歩3分,東京メトロ東西線 落合駅 徒歩8分,東京都新宿区上落合１丁目,1990年7月(築33年),5階建,"115,000円","管理費5,000円",11.5万円,11.5万円,無料,201号室,2K,39.22㎡,南
【空室1件】 ライオンズステーションプラザ大山,東京メトロ東西線 落合駅 徒歩8分,,東京都板橋区大山町,1997年3月(築26年),13階建,"138,000円","管理費10,000円",13.8万円,13.8万円,"88,000円",１１０６号室,2DK,45.8㎡,東
【空室1件】 YTアベニュー,都営三田線 志村三丁目駅 徒歩6分,都営三田線 本蓮沼駅 徒歩7分,東京都板橋区志村１丁目,1966年1月(築57年),2階建,"140,000円",管理費0円,14.0万円,28.0万円,"11,000円",101号室,3LDK,75㎡,-
【空室1件】 ライオンズマンション日暮里駅前,ＪＲ山手線 日暮里駅 徒歩2分,ＪＲ山手線 鶯谷駅 徒歩11分,東京都荒川区東日暮里５丁目,1983年12月(築40年),11階建,"168,000円",管理費0円,16.8万円,16.8万円,"88,000円",０４０５号室,3DK,55.39㎡,南西
【空室1件】 ＳＹＦＯＲＭＥ亀戸,ＪＲ総武線 亀戸駅 徒歩5分,東武亀戸線 亀戸駅 徒歩5分,東京都江東区亀戸６丁目,2022年3月(築1年),14階建,"106,000円","管理費10,000円",無料,無料,無料,00801号室,2K,25.4㎡,南
【空室1件】 East Wing,日暮里舎人ライナー 赤土小学校前駅 徒歩1分,都電荒川線 熊野前駅 徒歩10分,東京都荒川区東尾久２丁目,1997年6月(築26年),9階建,"135,000円","管理費8,000円",13.5万円,13.5万円,無料,501号室,3SDK,59.07㎡,南西
【空室1件】 ビエラコート綾瀬,都電荒川線 熊野前駅 徒歩10分,,東京都足立区綾瀬３丁目,1991年12月(築32年),6階建,"141,000円","管理費12,000円",14.1万円,14.1万円,無料,０５０１号室,3LDK,77.26㎡,東
【空室1件】 ヴィラージュ南台Ⅱ,京王線 笹塚駅 徒歩10分,東京メトロ丸ノ内線 方南町駅 徒歩13分,東京都中野区南台４丁目,1988年9月(築35年),2階建,"82,000円",管理費0円,8.2万円,無料,"88,000円",101号室,2DK,40㎡,南
【空室1件】 千草荘,東京メトロ丸ノ内線 方南町駅 徒歩13分,,東京都足立区柳原,1975年4月(築48年),2階建,"70,000円","管理費3,000円",無料,無料,無料,201号室,2K,34.9㎡,南
【空室2件】 サンロイヤル,東京メトロ千代田線 綾瀬駅 徒歩8分,つくばエクスプレス 青井駅 徒歩20分,東京都足立区綾瀬３丁目,1977年3月(築46年),3階建,"69,000円","管理費3,000円",無料,無料,"70,000円",202号室,2K,23.12㎡,南
【空室2件】 サンロイヤル,東京メトロ千代田線 綾瀬駅 徒歩8分,つくばエクスプレス 青井駅 徒歩20分,東京都足立区綾瀬３丁目,1977年3月(築46年),3階建,"69,000円","管理費3,000円",無料,無料,"70,000円",105号室,2K,23.12㎡,南
【空室1件】 マンションストーンミル・石森ビル,東京メトロ丸ノ内線 中野坂上駅 徒歩2分,都営大江戸線 中野坂上駅 徒歩2分,東京都中野区本町１丁目,1982年1月(築41年),11階建,"125,000円","管理費11,250円",25.0万円,12.5万円,"88,000円",707号室,2DK,51.54㎡,南
【空室1件】 マルチプレックスＸ,西武新宿線 沼袋駅 徒歩8分,ＪＲ中央線 中野駅 徒歩24分,東京都中野区沼袋２丁目,2006年9月(築17年),3階建,"96,000円","管理費4,000円",無料,無料,無料,C3号室,2K,32.29㎡,西
【空室1件】 イーハトーヴ・ムトー,ＪＲ京浜東北・根岸線 東十条駅 徒歩4分,ＪＲ埼京線 十条駅 徒歩10分,東京都北区東十条,1989年7月(築34年),6階建,"116,000円","管理費7,000円",11.6万円,11.6万円,無料,202号室,2LDK,46.62㎡,北東
【空室1件】 綾瀬5丁目　メゾネットマンション,ＪＲ常磐線 綾瀬駅 徒歩8分,つくばエクスプレス 青井駅 徒歩15分,東京都足立区綾瀬５丁目,1994年7月(築29年),5階建,"150,000円","管理費10,000円",15.0万円,15.0万円,"47,000円",4階・5階号室,4LDK,92.78㎡,南
【空室2件】 サンローゼ津田第１,東京メトロ丸ノ内線 中野新橋駅 徒歩5分,東京メトロ丸ノ内線 新中野駅 徒歩8分,東京都中野区本町５丁目,1989年3月(築34年),5階建,"125,000円","管理費8,000円",12.5万円,12.5万円,"20,000円",301号室,2DK,40.5㎡,南
【空室2件】 サンローゼ津田第１,東京メトロ丸ノ内線 中野新橋駅 徒歩5分,東京メトロ丸ノ内線 新中野駅 徒歩8分,東京都中野区本町５丁目,1989年3月(築34年),5階建,"113,000円","管理費7,000円",11.3万円,11.3万円,"88,000円",105号室,2DK,40.5㎡,南
【空室1件】 ルミネケー,東急池上線 長原駅 徒歩4分,東急池上線 洗足池駅 徒歩7分,東京都大田区上池台１丁目,1990年8月(築33年),2階建,"115,000円",管理費0円,11.5万円,11.5万円,無料,202号室,2DK,42㎡,南東
【空室1件】 エミリブ練馬,西武池袋線 練馬駅 徒歩4分,都営大江戸線 練馬駅 徒歩4分,東京都練馬区豊玉北５丁目,2015年2月(築8年),14階建,"173,000円","管理費12,000円",17.3万円,17.3万円,無料,0707号室,2LDK,50.91㎡,南
【空室1件】 ライオンズプラザ池袋,ＪＲ山手線 池袋駅 徒歩10分,東京メトロ有楽町線 東池袋駅 徒歩3分,東京都豊島区東池袋４丁目,1982年2月(築41年),14階建,"115,000円","管理費5,000円",11.5万円,11.5万円,"88,000円",０３０４号室,2K,37.64㎡,南西
【空室12件】 nido南千住,ＪＲ常磐線 南千住駅 徒歩7分,東京メトロ日比谷線 南千住駅 徒歩8分,東京都荒川区南千住７丁目,2024年2月(新築),15階建,"154,000円","管理費20,000円",無料,無料,無料,0201号室,2LDK,45.06㎡,北東
【空室12件】 nido南千住,ＪＲ常磐線 南千住駅 徒歩7分,東京メトロ日比谷線 南千住駅 徒歩8分,東京都荒川区南千住７丁目,2024年2月(新築),15階建,"158,000円","管理費20,000円",無料,無料,無料,0401号室,2LDK,45.06㎡,北東
【空室12件】 nido南千住,ＪＲ常磐線 南千住駅 徒歩7分,東京メトロ日比谷線 南千住駅 徒歩8分,東京都荒川区南千住７丁目,2024年2月(新築),15階建,"179,000円","管理費20,000円",無料,無料,無料,0404号室,2LDK,49.27㎡,南西
【空室1件】 水穂マンション,東京メトロ日比谷線 南千住駅 徒歩8分,,東京都杉並区松庵３丁目,1991年3月(築32年),3階建,"114,000円","管理費6,000円",11.4万円,11.4万円,"88,000円",301号室,2K,29.25㎡,南東
