物件名,アクセス1,アクセス2,所在地,築年数,建物の階数,賃料,管理費,敷金,礼金,仲介金,部屋の階数,間取り,面積,方角
【空室1件】 プレステージ光ケ丘公園,東京メトロ有楽町線 地下鉄赤塚駅 徒歩6分,東京メトロ副都心線 地下鉄赤塚駅 徒歩6分,東京都板橋区赤塚新町２丁目,1992年6月(築31年),3階建,"93,000円","管理費3,000円",9.3万円,無料,"88,000円",101号室,2DK,43.2㎡,南
【空室1件】 インペリアルハイツ,都電荒川線 西ヶ原四丁目駅 徒歩2分,都営三田線 西巣鴨駅 徒歩6分,東京都北区西ケ原４丁目,1989年8月(築34年),6階建,"96,000円","管理費7,000円",9.6万円,9.6万円,"36,000円",401号室,2DK,38.44㎡,南東
【空室1件】 クレールメゾン左門町,都営三田線 西巣鴨駅 徒歩6分,,東京都新宿区左門町,1987年9月(築36年),4階建,"175,000円",管理費0円,17.5万円,17.5万円,"88,000円",202号室,2LDK,46.24㎡,南
【空室1件】 Ｂｒｉｌｌｉａ　ｉｓｔ　文京茗荷谷,都営三田線 西巣鴨駅 徒歩6分,,東京都文京区小日向４丁目,2019年3月(築4年),6階建,"184,000円","管理費15,000円",18.4万円,無料,無料,401号室,2DK,41.86㎡,西
【空室1件】 桂ハウス B棟,京王井の頭線 永福町駅 徒歩6分,京王井の頭線 西永福駅 徒歩7分,東京都杉並区永福２丁目,1986年3月(築37年),2階建,"180,000円",管理費0円,18.0万円,18.0万円,"88,000円",B2号室,2LDK,70.4㎡,南
【空室1件】 ジェノヴィア南千住Ⅲスカイガーデン,ＪＲ常磐線 南千住駅 徒歩9分,東京メトロ日比谷線 南千住駅 徒歩13分,東京都台東区清川２丁目,2022年1月(築1年),12階建,"141,000円","管理費15,000円",無料,無料,無料,00404号室,2LDK,41.08㎡,北
【空室1件】 世田谷区上馬１丁目戸建,東急田園都市線 三軒茶屋駅 徒歩9分,東急田園都市線 駒沢大学駅 徒歩15分,東京都世田谷区上馬１丁目,2014年5月(築9年),3階建,"190,000円",管理費0円,19.0万円,19.0万円,"88,000円",1号室,2SLDK,61.86㎡,北
【空室1件】 ユリシーズ浜田山,京王井の頭線 浜田山駅 徒歩8分,京王井の頭線 西永福駅 徒歩10分,東京都杉並区浜田山４丁目,1990年9月(築33年),6階建,"131,000円","管理費8,000円",13.1万円,13.1万円,"88,000円",201号室,2LDK,60.4㎡,南
【空室1件】 クレール羽田,京急空港線 大鳥居駅 徒歩10分,京急空港線 糀谷駅 徒歩16分,東京都大田区西糀谷２丁目,2001年3月(築22年),9階建,"89,000円","管理費3,000円",8.9万円,8.9万円,"40,000円",0403号室,2K,30.69㎡,西
【空室1件】 ラグーナ東池袋,京急空港線 糀谷駅 徒歩16分,,東京都豊島区東池袋２丁目,1997年12月(築26年),12階建,"182,000円","管理費6,000円",18.2万円,21.8万円,"88,000円",403号室,2LDK,66.83㎡,西
【空室2件】 板橋本町グリーンパーク,都営三田線 板橋本町駅 徒歩9分,都営三田線 板橋区役所前駅 徒歩13分,東京都板橋区本町,1986年6月(築37年),5階建,"104,000円","管理費8,000円",10.4万円,5.2万円,無料,305号室,2DK,43.37㎡,北東
【空室2件】 板橋本町グリーンパーク,都営三田線 板橋本町駅 徒歩9分,都営三田線 板橋区役所前駅 徒歩13分,東京都板橋区本町,1986年6月(築37年),5階建,"104,000円","管理費8,000円",10.4万円,10.4万円,無料,306号室,2DK,43.2㎡,北東
【空室37件】 SYFORME OJIⅡ,ＪＲ京浜東北・根岸線 王子駅 徒歩9分,東京メトロ南北線 王子駅 徒歩6分,東京都北区豊島１丁目,2023年11月(新築),14階建,"106,000円","管理費10,000円",無料,無料,無料,704号室,2K,25.62㎡,南西
【空室37件】 SYFORME OJIⅡ,ＪＲ京浜東北・根岸線 王子駅 徒歩9分,東京メトロ南北線 王子駅 徒歩6分,東京都北区豊島１丁目,2023年11月(新築),14階建,"105,000円","管理費10,000円",無料,無料,無料,703号室,2K,25.62㎡,南西
【空室37件】 SYFORME OJIⅡ,ＪＲ京浜東北・根岸線 王子駅 徒歩9分,東京メトロ南北線 王子駅 徒歩6分,東京都北区豊島１丁目,2023年11月(新築),14階建,"108,000円","管理費10,000円",無料,無料,無料,1302号室,2K,25.62㎡,南西
【空室1件】 小田ビル,ＪＲ常磐線 綾瀬駅 徒歩11分,つくばエクスプレス 青井駅 徒歩10分,東京都足立区綾瀬６丁目,1996年9月(築27年),4階建,"75,000円",管理費0円,7.5万円,無料,"47,000円",201号室,2K,36.4㎡,南
【空室1件】 メゾン石渡,東急池上線 蓮沼駅 徒歩6分,東急多摩川線 矢口渡駅 徒歩13分,東京都大田区東矢口１丁目,1989年5月(築34年),2階建,"82,000円",管理費0円,無料,8.2万円,無料,102号室,2DK,33.05㎡,南
【空室1件】 アーバンコート,ＪＲ中央線 中野駅 徒歩7分,東京メトロ東西線 中野駅 徒歩5分,東京都中野区中野３丁目,1989年4月(築34年),3階建,"140,000円","管理費4,000円",14.0万円,14.0万円,"88,000円",202号室,2DK,43.72㎡,西
【空室1件】 第二ソイビーンハウス,東京メトロ丸ノ内線 中野新橋駅 徒歩4分,東京メトロ丸ノ内線 新中野駅 徒歩7分,東京都中野区本町３丁目,1967年1月(築56年),5階建,"103,000円","管理費2,000円",10.3万円,10.3万円,"88,000円",504号室,2LDK,58㎡,東
【空室3件】 グランピエール,京急空港線 糀谷駅 徒歩9分,京急空港線 大鳥居駅 徒歩18分,東京都大田区本羽田２丁目,1993年3月(築30年),6階建,"160,000円","管理費10,000円",16.0万円,16.0万円,"88,000円",505号室,2LDK,56.07㎡,南
【空室3件】 グランピエール,京急空港線 糀谷駅 徒歩9分,京急空港線 大鳥居駅 徒歩18分,東京都大田区本羽田２丁目,1993年3月(築30年),6階建,"160,000円","管理費10,000円",16.0万円,16.0万円,"88,000円",407号室,2LDK,56.07㎡,南
【空室3件】 グランピエール,京急空港線 糀谷駅 徒歩9分,京急空港線 大鳥居駅 徒歩18分,東京都大田区本羽田２丁目,1993年3月(築30年),6階建,"160,000円","管理費10,000円",16.0万円,16.0万円,"88,000円",305号室,2LDK,56.07㎡,南
【空室1件】 エクセレント小林,東京メトロ丸ノ内線 中野新橋駅 徒歩7分,都営大江戸線 西新宿五丁目駅 徒歩10分,東京都中野区弥生町１丁目,1990年6月(築33年),5階建,"120,000円","管理費5,000円",12.0万円,12.0万円,"88,000円",201号室,2DK,42㎡,南
【空室1件】 アリカ曳舟,京成押上線 京成曳舟駅 徒歩2分,東武伊勢崎線 曳舟駅 徒歩8分,東京都墨田区八広１丁目,2021年3月(築2年),8階建,"122,000円","管理費10,000円",12.2万円,無料,無料,501号室,2K,35.2㎡,南西
【空室1件】 セキネハイツ,京王井の頭線 永福町駅 徒歩10分,東京メトロ丸ノ内線 方南町駅 徒歩13分,東京都杉並区和泉２丁目,1974年3月(築49年),2階建,"68,000円","管理費2,000円",6.8万円,6.8万円,無料,103号室,2K,28.45㎡,東
【空室2件】 メゾンドール,小田急小田原線 祖師ヶ谷大蔵駅 徒歩14分,小田急小田原線 成城学園前駅 バス11分 日大商学部前下車 徒歩2分,東京都世田谷区砧５丁目,1984年3月(築39年),6階建,"168,000円","管理費9,000円",16.8万円,16.8万円,"88,000円",401号室,2LDK,61.6㎡,南
【空室2件】 メゾンドール,小田急小田原線 祖師ヶ谷大蔵駅 徒歩14分,小田急小田原線 成城学園前駅 バス11分 日大商学部前下車 徒歩2分,東京都世田谷区砧５丁目,1984年3月(築39年),6階建,"166,000円","管理費9,000円",16.6万円,16.6万円,"88,000円",302号室,3DK,61.6㎡,南
【空室2件】 ザ・クレスト,東京メトロ南北線 赤羽岩淵駅 徒歩7分,ＪＲ埼京線 赤羽駅 徒歩15分,東京都北区岩淵町,1990年9月(築33年),8階建,"145,000円","管理費10,000円",14.5万円,14.5万円,"88,000円",703号室,3LDK,67.53㎡,南西
【空室2件】 ザ・クレスト,東京メトロ南北線 赤羽岩淵駅 徒歩7分,ＪＲ埼京線 赤羽駅 徒歩15分,東京都北区岩淵町,1990年9月(築33年),8階建,"142,000円","管理費10,000円",14.2万円,14.2万円,"88,000円",304号室,3LDK,64.25㎡,南西
【空室1件】 バウスステージ練馬豊玉,都営大江戸線 練馬駅 徒歩8分,西武池袋線 練馬駅 徒歩9分,東京都練馬区豊玉中３丁目,2024年1月(新築),5階建,"171,000円","管理費20,000円",17.1万円,無料,"88,000円",103号室,2LDK,46.81㎡,南
【空室1件】 タウンハウス池上,都営浅草線 西馬込駅 徒歩7分,東急池上線 池上駅 徒歩15分,東京都大田区仲池上２丁目,1972年5月(築51年),3階建,"120,000円",管理費0円,12.0万円,無料,無料,3F号室,2LDK,48.86㎡,南
【空室1件】 エレガンスヤヨイＡ,東京メトロ丸ノ内線 中野新橋駅 徒歩8分,都営大江戸線 西新宿五丁目駅 徒歩8分,東京都中野区弥生町１丁目,1992年6月(築31年),4階建,"100,000円","管理費3,000円",無料,10.0万円,"33,000円",301号室,2K,40㎡,南東
【空室1件】 ＧＲＡＮ　ＰＡＳＥＯ舎人,日暮里舎人ライナー 舎人駅 徒歩2分,日暮里舎人ライナー 舎人公園駅 徒歩13分,東京都足立区舎人１丁目,2021年10月(築2年),5階建,"76,000円","管理費10,000円",無料,無料,無料,0305号室,2K,26.07㎡,西
【空室1件】 パークグレース新宿,都営大江戸線 都庁前駅 徒歩7分,ＪＲ山手線 新宿駅 徒歩16分,東京都新宿区西新宿４丁目,1979年3月(築44年),14階建,"161,000円","管理費15,000円",16.1万円,無料,無料,1305号室,2LDK,53.07㎡,東
【空室1件】 一の坂ハイツ,西武新宿線 中井駅 徒歩5分,都営大江戸線 落合南長崎駅 徒歩10分,東京都新宿区中井２丁目,1984年3月(築39年),2階建,"124,000円","管理費3,000円",12.4万円,無料,"88,000円",205号室,2DK,43.72㎡,南
【空室1件】 コスモパレス,小田急小田原線 喜多見駅 徒歩5分,小田急小田原線 成城学園前駅 徒歩13分,東京都世田谷区喜多見,1989年6月(築34年),4階建,"137,000円","管理費8,000円",13.7万円,13.7万円,"13,000円",205号室,2LDK,65.08㎡,南西
【空室1件】 メゾン・ド・フリハタ,西武新宿線 野方駅 徒歩8分,西武新宿線 都立家政駅 徒歩13分,東京都中野区丸山２丁目,1974年1月(築49年),3階建,"130,000円",管理費0円,13.0万円,無料,無料,301号室,2LDK,80㎡,南
【空室1件】 サンローゼ津田第３,東京メトロ丸ノ内線 中野新橋駅 徒歩5分,東京メトロ丸ノ内線 新中野駅 徒歩8分,東京都中野区本町５丁目,1997年2月(築26年),5階建,"122,000円","管理費8,000円",12.2万円,12.2万円,"88,000円",302号室,2DK,39.7㎡,南
【空室1件】 アミティー烏山,京王線 千歳烏山駅 徒歩6分,京王線 芦花公園駅 徒歩9分,東京都世田谷区南烏山４丁目,1990年3月(築33年),4階建,"123,000円","管理費5,000円",12.3万円,無料,無料,205号室,2DK,46.42㎡,-
【空室1件】 有賀ビル,東京メトロ丸ノ内線 茗荷谷駅 徒歩9分,都営三田線 千石駅 徒歩10分,東京都文京区大塚３丁目,1972年3月(築51年),5階建,"80,000円",管理費0円,8.0万円,無料,仲介手数料 ,404号室,2K,31.16㎡,南東
【空室1件】 城西天沼コーポ,ＪＲ中央線 荻窪駅 徒歩9分,ＪＲ総武線 荻窪駅 徒歩9分,東京都杉並区天沼３丁目,1980年3月(築43年),2階建,"73,000円","管理費1,500円",7.3万円,7.3万円,"48,000円",205号室,2K,33.4㎡,北
【空室3件】 ＡＲＫＭＡＲＫ巣鴨ｓｔａ．,ＪＲ山手線 巣鴨駅 徒歩2分,都営三田線 巣鴨駅 徒歩2分,東京都豊島区巣鴨１丁目,2020年12月(築3年),12階建,"120,000円","管理費12,000円",無料,12.0万円,無料,00802号室,2K,25.7㎡,北西
【空室3件】 ＡＲＫＭＡＲＫ巣鴨ｓｔａ．,ＪＲ山手線 巣鴨駅 徒歩2分,都営三田線 巣鴨駅 徒歩2分,東京都豊島区巣鴨１丁目,2020年12月(築3年),12階建,"119,000円","管理費12,000円",無料,11.9万円,無料,00602号室,2K,25.7㎡,北西
【空室3件】 ＡＲＫＭＡＲＫ巣鴨ｓｔａ．,ＪＲ山手線 巣鴨駅 徒歩2分,都営三田線 巣鴨駅 徒歩2分,東京都豊島区巣鴨１丁目,2020年12月(築3年),12階建,"117,500円","管理費12,000円",無料,11.8万円,無料,00401号室,2K,26.01㎡,北西
【空室1件】 グレースハイム,ＪＲ京浜東北・根岸線 赤羽駅 徒歩7分,ＪＲ埼京線 赤羽駅 徒歩7分,東京都北区赤羽１丁目,1988年7月(築35年),4階建,"105,000円","管理費3,000円",10.5万円,10.5万円,"88,000円",203号室,2K,31.35㎡,南西
【空室1件】 フォルム３３,ＪＲ山手線 日暮里駅 徒歩16分,東京メトロ日比谷線 三ノ輪駅 徒歩9分,東京都荒川区東日暮里２丁目,1988年4月(築35年),5階建,"85,000円","管理費10,000円",8.5万円,無料,無料,0401号室,2DK,37.9㎡,西
【空室1件】 升本マンション,東京メトロ有楽町線 江戸川橋駅 徒歩9分,東京メトロ丸ノ内線 茗荷谷駅 徒歩11分,東京都文京区水道１丁目,1971年2月(築52年),9階建,"137,500円","管理費12,500円",13.8万円,無料,無料,903号室,2LDK,61.73㎡,南西
【空室1件】 フレシア経堂,東京メトロ丸ノ内線 茗荷谷駅 徒歩11分,,東京都世田谷区経堂２丁目,2021年12月(築2年),4階建,"105,000円","管理費10,000円",10.5万円,10.5万円,無料,107号室,2K,25.46㎡,南西
【空室1件】 ＣＩＴＹ　ＳＰＩＲＥ　両国,ＪＲ総武線 両国駅 徒歩4分,都営大江戸線 両国駅 徒歩7分,東京都墨田区両国２丁目,2007年11月(築16年),13階建,"150,000円","管理費10,000円",無料,無料,無料,0401号室,2K,37.2㎡,東
【空室1件】 パヴィヨン・ブラン,東武伊勢崎線 梅島駅 徒歩5分,東武大師線 西新井駅 徒歩16分,東京都足立区梅田７丁目,1989年8月(築34年),5階建,"85,000円",管理費0円,8.5万円,8.5万円,"88,000円",205号室,2K,38.01㎡,東
【空室1件】 ミール千歳烏山,東武大師線 西新井駅 徒歩16分,,東京都世田谷区南烏山６丁目,1991年1月(築32年),9階建,"148,000円","管理費5,000円",14.8万円,無料,無料,0501号室,2DK,46.2㎡,西
【空室1件】 ＳＫレジデンス,ＪＲ山手線 大塚駅 徒歩4分,東京メトロ丸ノ内線 新大塚駅 徒歩5分,東京都豊島区南大塚３丁目,1990年2月(築33年),9階建,"154,000円","管理費8,000円",15.4万円,15.4万円,無料,504号室,2DK,47.35㎡,南東
【空室2件】 シティコープ柏木,東京メトロ丸ノ内線 新大塚駅 徒歩5分,,東京都新宿区北新宿２丁目,1986年5月(築37年),5階建,"183,000円","管理費10,000円",18.3万円,18.3万円,"88,000円",105号室,2LDK,69.99㎡,南
【空室2件】 シティコープ柏木,東京メトロ丸ノ内線 新大塚駅 徒歩5分,,東京都新宿区北新宿２丁目,1986年5月(築37年),5階建,"175,000円","管理費10,000円",17.5万円,17.5万円,"88,000円",102号室,2SLDK,67.99㎡,南
【空室1件】 要町ガーデンハイツ,東京メトロ有楽町線 要町駅 徒歩6分,東京メトロ副都心線 要町駅 徒歩6分,東京都豊島区要町１丁目,1992年3月(築31年),5階建,"178,000円","管理費10,000円",17.8万円,21.4万円,"88,000円",301号室,2LDK,59.85㎡,西
【空室1件】 北川ハイツ,東京メトロ丸ノ内線 西新宿駅 徒歩10分,ＪＲ山手線 新宿駅 徒歩15分,東京都新宿区北新宿１丁目,1980年7月(築43年),2階建,"160,000円",管理費0円,16.0万円,16.0万円,"88,000円",100号室,3DK,57㎡,南
【空室1件】 ぺアシティハウス竹の塚,東武伊勢崎線 竹ノ塚駅 徒歩7分,東武伊勢崎線 西新井駅 徒歩22分,東京都足立区竹の塚１丁目,1982年1月(築41年),6階建,"71,000円","管理費7,000円",7.1万円,無料,無料,203号室,2DK,46.84㎡,南
【空室1件】 パティオ・山の手,東京メトロ副都心線 雑司が谷駅 徒歩7分,東京メトロ有楽町線 東池袋駅 徒歩7分,東京都豊島区雑司が谷,1997年3月(築26年),5階建,"135,000円","管理費7,000円",13.5万円,13.5万円,"88,000円",301号室,2DK,45.36㎡,南
【空室1件】 LANAI J GRANDE,東武伊勢崎線 五反野駅 徒歩6分,東武伊勢崎線 小菅駅 徒歩8分,東京都足立区足立,2001年5月(築22年),4階建,"126,000円","管理費20,000円",12.6万円,12.6万円,"88,000円",307号室,3DK,55.8㎡,南
【空室1件】 下落合ハウス,西武新宿線 下落合駅 徒歩2分,ＪＲ山手線 高田馬場駅 徒歩12分,東京都新宿区下落合１丁目,1984年1月(築39年),10階建,"145,000円","管理費5,000円",14.5万円,14.5万円,無料,101号室,2DK,43.52㎡,北
【空室2件】 ラフォーレ町屋Ⅱ,東京メトロ千代田線 町屋駅 徒歩6分,都電荒川線 町屋二丁目駅 徒歩2分,東京都荒川区荒川６丁目,1994年10月(築29年),3階建,"80,000円",管理費0円,8.0万円,8.0万円,無料,205号室,2K,31.59㎡,南東
【空室2件】 ラフォーレ町屋Ⅱ,東京メトロ千代田線 町屋駅 徒歩6分,都電荒川線 町屋二丁目駅 徒歩2分,東京都荒川区荒川６丁目,1994年10月(築29年),3階建,"100,000円",管理費0円,10.0万円,10.0万円,無料,103号室,2DK,38.4㎡,南東
【空室1件】 クレドール富久,都営新宿線 曙橋駅 徒歩7分,東京メトロ丸ノ内線 四谷三丁目駅 徒歩11分,東京都新宿区富久町,1992年3月(築31年),4階建,"160,000円","管理費5,000円",16.5万円,16.5万円,"88,000円",207号室,2LDK,53.16㎡,西
【空室1件】 クレストコート,京急本線 六郷土手駅 徒歩8分,京急本線 雑色駅 徒歩12分,東京都大田区東六郷３丁目,1999年3月(築24年),5階建,"147,000円","管理費10,000円",14.7万円,無料,"88,000円",0305号室,3LDK,65.17㎡,南
【空室1件】 ＹＭＤビル,東京メトロ丸ノ内線 西新宿駅 徒歩7分,ＪＲ山手線 新宿駅 徒歩12分,東京都新宿区北新宿１丁目,1988年3月(築35年),5階建,"140,000円","管理費10,000円",14.0万円,14.0万円,"88,000円",203号室,2DK,50.44㎡,南
【空室1件】 ＪＵ　ＴＯＷＥＲ　ＦＲＯＮＴ　北斎Ｓｔ,ＪＲ総武線 錦糸町駅 徒歩10分,都営大江戸線 両国駅 徒歩11分,東京都墨田区亀沢４丁目,2021年3月(築2年),9階建,"188,000円","管理費10,000円",18.8万円,18.8万円,"88,000円",305号室,2LDK,50.53㎡,-
【空室1件】 旭泉マンション,ＪＲ山手線 駒込駅 徒歩3分,東京メトロ南北線 駒込駅 徒歩6分,東京都北区中里２丁目,1988年2月(築35年),5階建,"115,000円","管理費10,000円",11.5万円,11.5万円,無料,203号室,2DK,41.31㎡,南東
【空室1件】 メゾン柴又,東京メトロ南北線 駒込駅 徒歩6分,,東京都葛飾区柴又１丁目,1989年10月(築34年),2階建,"64,000円",管理費0円,6.4万円,無料,無料,101号室,2K,33.95㎡,南
【空室1件】 アーバニティハイム,都営新宿線 瑞江駅 徒歩14分,都営新宿線 一之江駅 バス10分 宮下下車 徒歩3分,東京都江戸川区東瑞江２丁目,1992年4月(築31年),2階建,"95,000円","管理費5,000円",9.5万円,無料,無料,103号室,2DK,51.69㎡,南東
【空室1件】 桜台2丁目貸戸建,西武有楽町線 新桜台駅 徒歩5分,東京メトロ副都心線 氷川台駅 徒歩8分,東京都練馬区桜台,2024年2月(新築),2階建,"198,000円",管理費0円,19.8万円,19.8万円,"88,000円",2号室,2SLDK,65.2㎡,南
【空室1件】 ライフピア中板橋,東武東上線 中板橋駅 徒歩6分,東武東上線 ときわ台駅 徒歩11分,東京都板橋区弥生町,2002年4月(築21年),7階建,"195,000円","管理費5,000円",19.5万円,19.5万円,無料,308号室,2SLDK,80.65㎡,南東
【空室1件】 児玉マンションⅡ,都営三田線 白山駅 徒歩7分,都営大江戸線 春日駅 徒歩13分,東京都文京区白山２丁目,1993年1月(築30年),4階建,"110,000円","管理費3,000円",11.0万円,無料,無料,101号室,2DK,35.24㎡,東
【空室1件】 二葉ハイツ,湘南新宿ライン宇須 西大井駅 徒歩3分,東急大井町線 下神明駅 徒歩10分,東京都品川区二葉２丁目,1978年10月(築45年),6階建,"83,000円","管理費2,000円",8.3万円,8.3万円,無料,303号室,2K,36㎡,南
【空室1件】 ハウス21,ＪＲ中央線 中野駅 徒歩9分,西武新宿線 新井薬師前駅 徒歩13分,東京都中野区中野５丁目,1993年3月(築30年),2階建,"120,000円",管理費0円,12.0万円,12.0万円,無料,201号室,2DK,42.26㎡,南
【空室1件】 ザ・パークハウス青砥,京成本線 青砥駅 徒歩14分,ＪＲ常磐線 亀有駅 バス11分 老健青戸こはるびの里下車 徒歩4分,東京都葛飾区青戸７丁目,2013年6月(築10年),20階建,"188,000円",管理費0円,18.8万円,18.8万円,"88,000円",424号室,3LDK,72.16㎡,東
【空室1件】 六町１丁目戸建ｂ棟,つくばエクスプレス 六町駅 徒歩7分,東京メトロ千代田線 北綾瀬駅 徒歩14分,東京都足立区六町１丁目,2020年3月(築3年),2階建,"180,000円",管理費0円,18.0万円,36.0万円,"88,000円",1号室,3LDK,82.8㎡,南
【空室1件】 千石MTビル,都営三田線 千石駅 徒歩4分,ＪＲ山手線 巣鴨駅 徒歩10分,東京都文京区千石４丁目,1987年8月(築36年),3階建,"110,000円","管理費2,000円",11.0万円,11.0万円,無料,201号室,2DK,51.6㎡,南
【空室1件】 仲六マンション,京急本線 雑色駅 徒歩2分,京急本線 六郷土手駅 徒歩17分,東京都大田区仲六郷２丁目,1971年3月(築52年),6階建,"95,000円",管理費0円,9.5万円,9.5万円,無料,203号室,2DK,51.84㎡,東
【空室1件】 濱野ビル,ＪＲ常磐線 三河島駅 徒歩5分,京成本線 新三河島駅 徒歩11分,東京都荒川区荒川３丁目,1984年11月(築39年),4階建,"95,000円","管理費5,000円",9.5万円,9.5万円,無料,203号室,2K,35.44㎡,西
【空室3件】 イカリハイツ,ＪＲ山手線 田端駅 徒歩9分,日暮里舎人ライナー 赤土小学校前駅 徒歩4分,東京都荒川区東尾久４丁目,1978年3月(築45年),4階建,"100,000円",管理費0円,10.5万円,10.5万円,無料,303号室,2DK,45㎡,東
【空室3件】 イカリハイツ,ＪＲ山手線 田端駅 徒歩9分,日暮里舎人ライナー 赤土小学校前駅 徒歩4分,東京都荒川区東尾久４丁目,1978年3月(築45年),4階建,"100,000円",管理費0円,10.5万円,10.5万円,無料,203号室,2DK,45㎡,東
【空室3件】 イカリハイツ,ＪＲ山手線 田端駅 徒歩9分,日暮里舎人ライナー 赤土小学校前駅 徒歩4分,東京都荒川区東尾久４丁目,1978年3月(築45年),4階建,"100,000円",管理費0円,10.5万円,10.5万円,無料,305号室,2DK,45㎡,東
【空室1件】 マチダアパート,ＪＲ総武線 信濃町駅 徒歩9分,ＪＲ総武線 四ツ谷駅 徒歩10分,東京都新宿区若葉３丁目,1970年5月(築53年),2階建,"65,000円",管理費0円,6.5万円,6.5万円,無料,B号室,2DK,21㎡,南
【空室1件】 プレジオ戸越,東急池上線 戸越銀座駅 徒歩1分,都営浅草線 戸越駅 徒歩2分,東京都品川区平塚１丁目,2000年1月(築23年),3階建,"138,000円","管理費5,000円",13.8万円,13.8万円,"88,000円",201号室,2K,43.45㎡,南
【空室1件】 ブリリアンス日本橋浜町参番館,都営新宿線 浜町駅 徒歩5分,東京メトロ半蔵門線 水天宮前駅 徒歩8分,東京都中央区日本橋浜町,1985年7月(築38年),9階建,"160,000円","管理費10,000円",16.0万円,16.0万円,"88,000円",202号室,3LDK,56.48㎡,南
【空室1件】 ガーデンパレス高円寺,ＪＲ総武線 高円寺駅 徒歩5分,西武新宿線 野方駅 徒歩19分,東京都杉並区高円寺北２丁目,2017年2月(築6年),3階建,"178,000円","管理費4,000円",17.8万円,17.8万円,無料,201号室,2LDK,65㎡,西
【空室1件】 グリーンフィールド大山,西武新宿線 野方駅 徒歩19分,,東京都板橋区熊野町,1995年9月(築28年),14階建,"157,000円","管理費15,000円",無料,無料,無料,0903号室,2LDK,57.42㎡,南西
【空室1件】 春江町戸建,都営新宿線 瑞江駅 徒歩15分,東京メトロ東西線 葛西駅 バス15分 瑞江斎場下車 徒歩4分,東京都江戸川区春江町３丁目,1973年6月(築50年),2階建,"103,000円",管理費0円,10.3万円,無料,"88,000円",1号室,2LDK,46.3㎡,南西
【空室1件】 ライオンズ東向島ミレス,東武伊勢崎線 東向島駅 徒歩4分,東武伊勢崎線 曳舟駅 徒歩11分,東京都墨田区東向島４丁目,2018年7月(築5年),9階建,"159,000円","管理費10,000円",15.9万円,15.9万円,"88,000円",０７０４号室,2LDK,54.54㎡,南
【空室2件】 レジデンス浜田山,京王井の頭線 浜田山駅 徒歩5分,京王井の頭線 高井戸駅 徒歩15分,東京都杉並区浜田山３丁目,1996年5月(築27年),7階建,"135,000円","管理費6,000円",13.5万円,13.5万円,"88,000円",601号室,2DK,45㎡,南西
