物件名,アクセス1,アクセス2,所在地,築年数,建物の階数,賃料,管理費,敷金,礼金,仲介金,部屋の階数,間取り,面積,方角
【空室2件】 レジデンス浜田山,京王井の頭線 浜田山駅 徒歩5分,京王井の頭線 高井戸駅 徒歩15分,東京都杉並区浜田山３丁目,1996年5月(築27年),7階建,"133,000円","管理費6,000円",13.3万円,13.3万円,"88,000円",605号室,2DK,45㎡,南西
【空室15件】 プライムガーデン若木,東武東上線 東武練馬駅 徒歩10分,東武東上線 上板橋駅 徒歩11分,東京都板橋区若木１丁目,2024年3月(新築),5階建,"160,000円","管理費20,000円",無料,無料,無料,0101号室,2LDK,48.27㎡,西
【空室15件】 プライムガーデン若木,東武東上線 東武練馬駅 徒歩10分,東武東上線 上板橋駅 徒歩11分,東京都板橋区若木１丁目,2024年3月(新築),5階建,"174,000円","管理費20,000円",無料,無料,無料,0417号室,2LDK,51.42㎡,東
【空室15件】 プライムガーデン若木,東武東上線 東武練馬駅 徒歩10分,東武東上線 上板橋駅 徒歩11分,東京都板橋区若木１丁目,2024年3月(新築),5階建,"164,000円","管理費20,000円",無料,無料,無料,0424号室,2LDK,48.27㎡,東
【空室2件】 アルテシモクルブ,東急目黒線 武蔵小山駅 徒歩5分,東急目黒線 西小山駅 徒歩12分,東京都目黒区目黒本町３丁目,2023年11月(新築),6階建,"183,000円","管理費15,000円",無料,無料,無料,0106号室,2DK,40.06㎡,南西
【空室2件】 アルテシモクルブ,東急目黒線 武蔵小山駅 徒歩5分,東急目黒線 西小山駅 徒歩12分,東京都目黒区目黒本町３丁目,2023年11月(新築),6階建,"185,000円","管理費15,000円",無料,無料,無料,0105号室,2DK,41.44㎡,北東
【空室1件】 西ヶ原の家,ＪＲ京浜東北・根岸線 上中里駅 徒歩6分,東京メトロ南北線 西ヶ原駅 徒歩8分,東京都北区西ケ原１丁目,1989年3月(築34年),2階建,"140,000円",管理費0円,14.0万円,14.0万円,"11,000円",2F号室,2K,48.02㎡,南
【空室1件】 メゾン大塚,都営三田線 西巣鴨駅 徒歩4分,ＪＲ埼京線 板橋駅 徒歩7分,東京都北区滝野川６丁目,1990年3月(築33年),4階建,"95,000円","管理費3,000円",9.5万円,9.5万円,"88,000円",302号室,2DK,37.2㎡,南西
【空室1件】 アーバンハイツ,都営大江戸線 光が丘駅 徒歩23分,西武池袋線 石神井公園駅 バス18分 土支田八幡下車 徒歩5分,東京都練馬区土支田２丁目,1994年1月(築29年),2階建,"83,000円","管理費3,000円",無料,無料,"88,000円",103号室,3DK,55.28㎡,-
【空室2件】 エコーピア,西武池袋線 石神井公園駅 バス18分 土支田八幡下車 徒歩5分,,東京都墨田区八広４丁目,1992年2月(築31年),9階建,"95,000円",管理費0円,9.5万円,9.5万円,"88,000円",0504号室,2DK,41.07㎡,西
【空室2件】 エコーピア,西武池袋線 石神井公園駅 バス18分 土支田八幡下車 徒歩5分,,東京都墨田区八広４丁目,1992年2月(築31年),9階建,"96,000円",管理費0円,9.6万円,9.6万円,"88,000円",0803号室,2DK,41.07㎡,西
【空室1件】 ライオンズプラザ武蔵関リュイール,西武池袋線 石神井公園駅 バス18分 土支田八幡下車 徒歩5分,,東京都練馬区関町北２丁目,2006年7月(築17年),15階建,"148,000円","管理費10,000円",14.8万円,14.8万円,"88,000円",１１０４号室,2LDK,62.77㎡,南
【空室1件】 白鳳マンション中野新橋,東京メトロ丸ノ内線 中野新橋駅 徒歩4分,都営大江戸線 中野坂上駅 徒歩10分,東京都中野区本町３丁目,1983年5月(築40年),5階建,"114,000円","管理費10,000円",11.4万円,11.4万円,"88,000円",０１０３号室,2DK,38.83㎡,南
【空室1件】 リテラス渋谷笹塚,京王線 笹塚駅 徒歩8分,京王線 代田橋駅 徒歩6分,東京都渋谷区笹塚２丁目,2022年6月(築1年),15階建,"137,000円","管理費15,000円",13.7万円,無料,無料,0403号室,2K,33.8㎡,北
【空室1件】 イーストパークス大島　サザンスクエア,都営新宿線 大島駅 徒歩2分,ＪＲ総武線 亀戸駅 徒歩16分,東京都江東区大島６丁目,1997年9月(築26年),14階建,"180,000円","管理費15,000円",18.0万円,18.0万円,"88,000円",804号室,3LDK,68.58㎡,南西
【空室1件】 LUCK FIELD　B棟,東京メトロ千代田線 北綾瀬駅 徒歩9分,ＪＲ常磐線 綾瀬駅 徒歩19分,東京都足立区綾瀬７丁目,2013年3月(築10年),3階建,"117,000円","管理費3,000円",11.7万円,無料,"88,000円",301号室,2SLDK,56.91㎡,南東
【空室1件】 ボワァール本駒込,都営三田線 千石駅 徒歩7分,東京メトロ南北線 本駒込駅 徒歩7分,東京都文京区本駒込１丁目,1994年9月(築29年),2階建,"155,000円",管理費0円,15.5万円,15.5万円,"88,000円",102号室,2DK,51.75㎡,南東
【空室1件】 サンイーストひぐち,東京メトロ東西線 東陽町駅 徒歩4分,東京メトロ東西線 木場駅 徒歩8分,東京都江東区東陽３丁目,1997年11月(築26年),4階建,"100,000円",管理費0円,10.0万円,無料,"88,000円",101号室,2DK,39.15㎡,東
【空室1件】 コーポレート船堀,都営新宿線 船堀駅 徒歩15分,ＪＲ総武線 新小岩駅 バス13分 東小松川二丁目下車 徒歩1分,東京都江戸川区東小松川２丁目,1997年8月(築26年),11階建,"120,000円","管理費8,000円",無料,6.0万円,"22,000円",703号室,2LDK,59㎡,南
【空室1件】 SYFORME MORISHITA,都営新宿線 菊川駅 徒歩4分,都営新宿線 森下駅 徒歩5分,東京都墨田区菊川１丁目,2020年2月(築3年),9階建,"114,000円","管理費15,000円",無料,11.4万円,"26,000円",901号室,2K,28.49㎡,南
【空室1件】 金子マンション,東京メトロ千代田線 綾瀬駅 徒歩5分,つくばエクスプレス 青井駅 徒歩15分,東京都足立区綾瀬４丁目,1977年4月(築46年),4階建,"67,000円","管理費3,000円",無料,無料,"70,000円",303号室,2DK,34.02㎡,-
【空室1件】 ドルフケンマート,都営浅草線 馬込駅 徒歩1分,東急大井町線 荏原町駅 徒歩11分,東京都大田区北馬込２丁目,1976年3月(築47年),5階建,"115,000円","管理費3,000円",11.5万円,無料,無料,301号室,2LDK,45㎡,南
【空室1件】 ラフィネ学芸大学,東急大井町線 荏原町駅 徒歩11分,,東京都目黒区中央町１丁目,2002年11月(築21年),3階建,"122,000円","管理費4,000円",12.2万円,12.2万円,"88,000円",101号室,2K,36.31㎡,南西
【空室1件】 三桃マンション,京急本線 梅屋敷駅 徒歩8分,京急本線 大森町駅 徒歩11分,東京都大田区大森中３丁目,1988年3月(築35年),4階建,"101,000円","管理費5,000円",10.1万円,10.1万円,"33,000円",0204号室,2DK,42㎡,東
【空室1件】 ハイムサクラ,東京メトロ千代田線 町屋駅 徒歩9分,ＪＲ常磐線 三河島駅 徒歩10分,東京都荒川区荒川２丁目,1997年11月(築26年),2階建,"82,000円","管理費3,000円",8.2万円,8.2万円,"88,000円",101号室,2DK,40.07㎡,南
【空室1件】 Ｓ　Ｋ　ＣＵＢＥ,ＪＲ総武線 亀戸駅 徒歩5分,東武亀戸線 亀戸駅 徒歩5分,東京都江東区亀戸５丁目,2009年5月(築14年),3階建,"86,000円",管理費0円,8.6万円,8.6万円,"88,000円",101号室,2K,32.74㎡,-
【空室1件】 ジェノヴィア浅草Ⅴスカイガーデン,つくばエクスプレス 浅草駅 徒歩10分,東京メトロ日比谷線 入谷駅 徒歩13分,東京都台東区浅草５丁目,2021年12月(築2年),12階建,"178,000円","管理費15,000円",無料,無料,無料,00902号室,2LDK,46.73㎡,北西
【空室1件】 サニーハイツ,東京メトロ千代田線 代々木公園駅 徒歩8分,小田急小田原線 代々木八幡駅 徒歩7分,東京都渋谷区富ヶ谷２丁目,1980年6月(築43年),3階建,"140,000円","管理費5,000円",14.0万円,14.0万円,"88,000円",103号室,2K,43.2㎡,東
【空室1件】 ドエル立石,小田急小田原線 代々木八幡駅 徒歩7分,,東京都葛飾区東立石１丁目,1985年10月(築38年),3階建,"63,000円","管理費5,000円",6.3万円,6.3万円,仲介手数料 ,203号室,2LDK,47.04㎡,東
【空室1件】 ラヴィーナ池上,東急池上線 池上駅 徒歩7分,東急池上線 蒲田駅 徒歩17分,東京都大田区池上６丁目,1988年10月(築35年),5階建,"116,000円","管理費7,000円",11.6万円,11.6万円,"88,000円",0203号室,2DK,47.19㎡,西
【空室1件】 ドミール鷺宮,西武新宿線 鷺ノ宮駅 徒歩3分,ＪＲ中央線 高円寺駅 徒歩35分,東京都中野区鷺宮４丁目,1993年5月(築30年),2階建,"83,000円","管理費2,000円",8.3万円,無料,"88,000円",102号室,2DK,37.26㎡,南東
【空室3件】 ＧＲＡＮ　ＰＡＳＥＯ碑文谷Ｎｏｒｔｈ,東急東横線 都立大学駅 徒歩8分,東急目黒線 大岡山駅 徒歩14分,東京都目黒区碑文谷３丁目,2021年10月(築2年),4階建,"172,000円","管理費15,000円",無料,無料,無料,0305号室,2DK,40.16㎡,南西
【空室3件】 ＧＲＡＮ　ＰＡＳＥＯ碑文谷Ｎｏｒｔｈ,東急東横線 都立大学駅 徒歩8分,東急目黒線 大岡山駅 徒歩14分,東京都目黒区碑文谷３丁目,2021年10月(築2年),4階建,"180,000円","管理費10,000円",無料,無料,無料,0102号室,2DK,41.11㎡,北東
【空室3件】 ＧＲＡＮ　ＰＡＳＥＯ碑文谷Ｎｏｒｔｈ,東急東横線 都立大学駅 徒歩8分,東急目黒線 大岡山駅 徒歩14分,東京都目黒区碑文谷３丁目,2021年10月(築2年),4階建,"183,000円","管理費15,000円",無料,無料,無料,0302号室,2DK,41.11㎡,北東
【空室1件】 ＧＲＡＮ　ＰＡＳＥＯ新大塚,東京メトロ丸ノ内線 新大塚駅 徒歩3分,ＪＲ山手線 大塚駅 徒歩7分,東京都豊島区東池袋５丁目,2021年1月(築2年),12階建,"125,000円","管理費12,000円",無料,無料,無料,0701号室,2K,25.81㎡,北東
【空室1件】 ハクジウハイツ,ＪＲ山手線 大塚駅 徒歩7分,,東京都豊島区目白３丁目,1980年8月(築43年),5階建,"120,000円",管理費0円,12.0万円,12.0万円,"88,000円",304号室,2DK,44.62㎡,南東
【空室1件】 コスモ葛西臨海公園ロイヤルコート,東京メトロ東西線 葛西駅 バス5分 堀江団地下車 徒歩7分,ＪＲ京葉線 葛西臨海公園駅 徒歩15分,東京都江戸川区南葛西５丁目,1996年10月(築27年),10階建,"135,000円","管理費10,000円",13.5万円,13.5万円,無料,101号室,3LDK,75.27㎡,-
【空室3件】 ＫＤＸレジデンス本蓮沼,ＪＲ京葉線 葛西臨海公園駅 徒歩15分,,東京都板橋区蓮沼町,2023年12月(新築),14階建,"182,000円","管理費15,000円",18.2万円,18.2万円,無料,0204号室,2LDK,55.2㎡,西
【空室3件】 ＫＤＸレジデンス本蓮沼,ＪＲ京葉線 葛西臨海公園駅 徒歩15分,,東京都板橋区蓮沼町,2023年12月(新築),14階建,"185,000円","管理費15,000円",18.5万円,18.5万円,無料,0504号室,2LDK,55.2㎡,西
【空室3件】 ＫＤＸレジデンス本蓮沼,ＪＲ京葉線 葛西臨海公園駅 徒歩15分,,東京都板橋区蓮沼町,2023年12月(新築),14階建,"184,000円","管理費15,000円",18.4万円,18.4万円,無料,0404号室,2LDK,55.2㎡,西
【空室1件】 真野メゾネット,東京メトロ有楽町線 江戸川橋駅 徒歩9分,東京メトロ丸ノ内線 後楽園駅 徒歩16分,東京都文京区水道１丁目,1991年7月(築32年),2階建,"167,000円","管理費3,000円",16.7万円,16.7万円,"88,000円",C号室,2DK,54.64㎡,南西
【空室1件】 ラフィネ大崎（B）,湘南新宿ライン宇須 大崎駅 徒歩4分,湘南新宿ライン高海 大崎駅 徒歩4分,東京都品川区大崎５丁目,1997年9月(築26年),12階建,"175,000円","管理費12,000円",17.5万円,17.5万円,"88,000円",306号室,2LDK,61.84㎡,西
【空室1件】 大田区東蒲田１丁目住宅,京急本線 梅屋敷駅 徒歩6分,京急本線 京急蒲田駅 徒歩10分,東京都大田区東蒲田１丁目,1971年10月(築52年),2階建,"174,000円",管理費0円,17.4万円,17.4万円,"88,000円",201号室,2LDK,72.04㎡,南
【空室1件】 ウェストコート,ＪＲ総武線 新小岩駅 徒歩24分,ＪＲ総武線 錦糸町駅 バス13分 小松川警察署前下車 徒歩5分,東京都江戸川区松島１丁目,2007年3月(築16年),2階建,"117,000円",管理費0円,11.7万円,11.7万円,"88,000円",B号室,2LDK,66.7㎡,-
【空室1件】 エクセレンツ青砥,京成本線 青砥駅 徒歩7分,京成本線 京成高砂駅 徒歩17分,東京都葛飾区青戸５丁目,1988年11月(築35年),4階建,"67,000円","管理費5,000円",無料,無料,無料,103号室,2K,29.76㎡,-
【空室1件】 ソライエアイル練馬北町,東京メトロ有楽町線 地下鉄赤塚駅 徒歩7分,東京メトロ副都心線 地下鉄赤塚駅 徒歩7分,東京都練馬区北町３丁目,2020年1月(築3年),6階建,"183,000円","管理費15,000円",18.3万円,18.3万円,無料,308号室,2LDK,58.42㎡,南西
【空室1件】 プラネソシエ青戸,東京メトロ副都心線 地下鉄赤塚駅 徒歩7分,,東京都葛飾区青戸１丁目,2024年1月(新築),6階建,"180,000円","管理費12,000円",18.0万円,18.0万円,"88,000円",504号室,2LDK,51.24㎡,北西
【空室1件】 ＮＳビル,東京メトロ副都心線 地下鉄赤塚駅 徒歩7分,,東京都江戸川区中葛西３丁目,1994年4月(築29年),4階建,"80,000円",管理費0円,8.0万円,無料,無料,304号室,2K,38.26㎡,南
【空室1件】 プライマル門前仲町,東京メトロ東西線 門前仲町駅 徒歩3分,都営大江戸線 門前仲町駅 徒歩3分,東京都江東区深川２丁目,2021年6月(築2年),7階建,"103,000円","管理費10,000円",10.3万円,10.3万円,"26,000円",205号室,2K,25.14㎡,西
【空室1件】 パークアクシス元浅草ステージ,ＪＲ山手線 御徒町駅 徒歩13分,つくばエクスプレス 新御徒町駅 徒歩3分,東京都台東区元浅草１丁目,2008年4月(築15年),16階建,"188,000円","管理費10,000円",18.8万円,37.6万円,無料,1013号室,2DK,46.23㎡,西
【空室1件】 エクシード根岸アメニティーレジデンス,ＪＲ山手線 鶯谷駅 徒歩4分,東京メトロ日比谷線 入谷駅 徒歩10分,東京都台東区根岸３丁目,1987年7月(築36年),4階建,"129,000円","管理費4,000円",12.9万円,12.9万円,"88,000円",302号室,2LDK,47.37㎡,南
【空室1件】 ＵＵＲコート白鷺,西武新宿線 鷺ノ宮駅 徒歩6分,西武新宿線 都立家政駅 徒歩9分,東京都中野区白鷺１丁目,2002年2月(築21年),7階建,"156,000円","管理費10,000円",15.6万円,15.6万円,無料,406号室,2LDK,59.9㎡,南
【空室1件】 メゾンドボヌール梅島,西武新宿線 都立家政駅 徒歩9分,,東京都足立区梅島１丁目,2001年3月(築22年),4階建,"105,000円","管理費10,000円",10.5万円,10.5万円,"88,000円",303号室,2DK,51㎡,南
【空室1件】 アビタシオン葛西,西武新宿線 都立家政駅 徒歩9分,,東京都江戸川区東葛西６丁目,1995年5月(築28年),10階建,"105,000円","管理費8,000円",10.5万円,10.5万円,"88,000円",902号室,2DK,45.37㎡,西
【空室1件】 セントラルパレス,西武新宿線 都立家政駅 徒歩9分,,東京都練馬区中村南２丁目,1997年1月(築26年),7階建,"128,000円","管理費6,000円",12.8万円,12.8万円,"88,000円",304号室,2LDK,56㎡,南
【空室1件】 レオネクストプラシード,西武新宿線 都立家政駅 徒歩9分,,東京都練馬区西大泉４丁目,2012年1月(築11年),2階建,"107,000円","管理費5,500円",無料,10.7万円,無料,202号室,2LDK,62.28㎡,南
【空室1件】 レオネクストエクセルアサヒⅥ,西武新宿線 都立家政駅 徒歩9分,,東京都中野区野方６丁目,2015年7月(築8年),4階建,"159,000円","管理費5,500円",無料,15.9万円,無料,105号室,2LDK,61.4㎡,東
【空室2件】 グランセルコーバ,西武池袋線 練馬駅 徒歩2分,都営大江戸線 練馬駅 徒歩1分,東京都練馬区豊玉北５丁目,1997年2月(築26年),10階建,"125,000円","管理費8,000円",12.5万円,12.5万円,"88,000円",0403号室,2DK,48.25㎡,南
【空室2件】 グランセルコーバ,西武池袋線 練馬駅 徒歩2分,都営大江戸線 練馬駅 徒歩1分,東京都練馬区豊玉北５丁目,1997年2月(築26年),10階建,"130,000円","管理費8,000円",13.0万円,26.0万円,"88,000円",0803号室,2DK,45.7㎡,南
【空室1件】 ＢＬＥＳＳ上池袋,東武東上線 北池袋駅 徒歩5分,ＪＲ山手線 池袋駅 徒歩16分,東京都豊島区上池袋３丁目,2015年3月(築8年),5階建,"178,000円","管理費8,000円",17.8万円,35.6万円,"88,000円",0504号室,2LDK,48.29㎡,南
【空室1件】 ドルピテム,ＪＲ中央本線 高円寺駅 徒歩9分,ＪＲ総武線 高円寺駅 徒歩9分,東京都杉並区高円寺北３丁目,1989年7月(築34年),5階建,"132,000円","管理費4,000円",13.2万円,13.2万円,無料,305号室,2DK,44.2㎡,南
【空室1件】 ザ・パークハビオ神楽坂,都営大江戸線 牛込神楽坂駅 徒歩3分,東京メトロ東西線 神楽坂駅 徒歩6分,東京都新宿区横寺町,2020年3月(築3年),10階建,"154,000円","管理費18,000円",15.4万円,15.4万円,無料,404号室,2K,30.98㎡,北東
【空室1件】 サンハイム,東京メトロ千代田線 北綾瀬駅 徒歩6分,つくばエクスプレス 青井駅 徒歩22分,東京都足立区東綾瀬３丁目,1977年1月(築46年),2階建,"61,000円",管理費0円,6.1万円,無料,仲介手数料 ,202号室,2K,26㎡,南東
【空室1件】 モント北馬込,東急大井町線 荏原町駅 徒歩6分,東急大井町線 旗の台駅 徒歩8分,東京都大田区北馬込１丁目,1997年6月(築26年),3階建,"120,000円","管理費2,000円",12.0万円,無料,無料,101号室,2DK,39㎡,東
【空室1件】 パークサイド南大井,京急本線 立会川駅 徒歩5分,東京モノレール 大井競馬場前駅 徒歩10分,東京都品川区南大井１丁目,1982年3月(築41年),6階建,"112,500円","管理費9,000円",無料,無料,無料,508号室,2DK,39.17㎡,北東
【空室1件】 エステートピアウエスト,都電荒川線 荒川区役所前駅 徒歩5分,都電荒川線 荒川一中前駅 徒歩7分,東京都荒川区南千住６丁目,1988年7月(築35年),3階建,"78,000円","管理費3,000円",無料,無料,無料,302号室,2DK,39.54㎡,南西
【空室1件】 西六郷三井ハウス,京急本線 雑色駅 徒歩8分,ＪＲ京浜東北・根岸線 蒲田駅 徒歩15分,東京都大田区西六郷１丁目,1981年2月(築42年),2階建,"83,000円",管理費0円,8.3万円,無料,無料,102号室,2K,30.89㎡,南
【空室1件】 大野マンション,都営新宿線 菊川駅 徒歩5分,東京メトロ半蔵門線 住吉駅 徒歩9分,東京都墨田区菊川３丁目,1973年1月(築50年),4階建,"82,000円",管理費0円,16.4万円,無料,無料,201号室,2K,28㎡,南
【空室1件】 ジェノヴィア押上Ⅱ,京成押上線 押上駅 徒歩7分,東武伊勢崎線 とうきょうスカイツリー駅 徒歩9分,東京都墨田区向島３丁目,2023年6月(新築),7階建,"112,000円","管理費10,000円",無料,無料,無料,503号室,2K,25.65㎡,東
【空室1件】 高稲荷ハイツ,東京メトロ有楽町線 氷川台駅 徒歩10分,西武池袋線 桜台駅 徒歩14分,東京都練馬区桜台６丁目,1991年7月(築32年),2階建,"92,000円","管理費2,000円",無料,無料,無料,103号室,2K,34.78㎡,-
【空室1件】 メゾンサガノ,東京メトロ千代田線 綾瀬駅 徒歩8分,東武伊勢崎線 五反野駅 徒歩9分,東京都足立区西綾瀬３丁目,1988年1月(築35年),3階建,"80,000円",管理費0円,無料,無料,"66,000円",302号室,2DK,38.84㎡,-
【空室1件】 メゾン呉羽,ＪＲ山手線 新宿駅 徒歩7分,小田急小田原線 南新宿駅 徒歩7分,東京都渋谷区代々木３丁目,1976年1月(築47年),5階建,"115,000円","管理費5,000円",11.5万円,11.5万円,無料,502号室,2DK,33.2㎡,北西
【空室1件】 MFPRコート木場公園,東京メトロ東西線 木場駅 徒歩9分,東京メトロ東西線 東陽町駅 徒歩10分,東京都江東区東陽６丁目,2007年3月(築16年),14階建,"171,000円","管理費9,000円",17.1万円,17.1万円,無料,701号室,2LDK,44.46㎡,西
【空室1件】 キングビルディング,東京メトロ丸ノ内線 東高円寺駅 徒歩5分,ＪＲ総武線 高円寺駅 徒歩15分,東京都杉並区梅里１丁目,1988年3月(築35年),5階建,"95,000円","管理費5,000円",9.5万円,無料,無料,０２０２号室,2DK,36.72㎡,西
【空室1件】 ビューステージ大山,ＪＲ総武線 高円寺駅 徒歩15分,,東京都板橋区大山金井町,1993年12月(築30年),10階建,"120,000円","管理費9,000円",12.0万円,12.0万円,"22,000円",0502号室,2DK,41.25㎡,南西
【空室1件】 ライオンズマンション東馬込,都営浅草線 馬込駅 徒歩2分,東急大井町線 荏原町駅 徒歩11分,東京都大田区東馬込１丁目,1988年7月(築35年),5階建,"129,000円",管理費0円,12.9万円,12.9万円,"88,000円",０３０４号室,2DK,45.9㎡,南東
【空室1件】 ミハス武蔵小山,東急目黒線 西小山駅 徒歩5分,東急目黒線 武蔵小山駅 徒歩8分,東京都品川区小山５丁目,2015年7月(築8年),3階建,"144,000円","管理費8,000円",無料,14.4万円,無料,201号室,2DK,48.86㎡,南西
【空室1件】 ベルヴュコート世田谷豪徳寺,小田急小田原線 豪徳寺駅 徒歩12分,東急世田谷線 宮の坂駅 徒歩7分,東京都世田谷区豪徳寺２丁目,2009年3月(築14年),3階建,"175,000円","管理費10,000円",17.5万円,21.0万円,"88,000円",103号室,2LDK,51.88㎡,東
【空室3件】 グランカーサ三ノ輪Ⅲ,東急世田谷線 宮の坂駅 徒歩7分,,東京都台東区日本堤２丁目,2023年12月(新築),12階建,"171,000円","管理費12,000円",無料,17.1万円,無料,0603号室,2LDK,40.88㎡,西
【空室3件】 グランカーサ三ノ輪Ⅲ,東急世田谷線 宮の坂駅 徒歩7分,,東京都台東区日本堤２丁目,2023年12月(新築),12階建,"173,000円","管理費12,000円",無料,17.3万円,無料,0803号室,2LDK,40.88㎡,西
【空室3件】 グランカーサ三ノ輪Ⅲ,東急世田谷線 宮の坂駅 徒歩7分,,東京都台東区日本堤２丁目,2023年12月(新築),12階建,"188,000円","管理費12,000円",無料,18.8万円,無料,1003号室,2LDK,40.88㎡,西
【空室1件】 ロイヤルパレス荏原中延,東急池上線 荏原中延駅 徒歩5分,東急大井町線 中延駅 徒歩11分,東京都品川区西中延２丁目,1984年6月(築39年),4階建,"105,000円","管理費15,000円",無料,無料,無料,304号室,2K,33.62㎡,南
【空室1件】 ドルフ喜多見,小田急小田原線 喜多見駅 徒歩10分,小田急小田原線 成城学園前駅 徒歩22分,東京都世田谷区喜多見９丁目,2005年2月(築18年),3階建,"134,000円","管理費8,000円",無料,13.4万円,"15,000円",319号室,2DK,49.41㎡,南
【空室1件】 リズ梅ヶ丘,小田急小田原線 梅ヶ丘駅 徒歩10分,東急世田谷線 若林駅 徒歩11分,東京都世田谷区梅丘３丁目,1991年3月(築32年),3階建,"185,000円","管理費13,000円",37.0万円,無料,無料,0203号室,3LDK,68.68㎡,南
【空室1件】 ミハス大森山王Ⅱ,東急世田谷線 若林駅 徒歩11分,,東京都大田区山王２丁目,2020年3月(築3年),3階建,"133,000円","管理費8,000円",無料,13.3万円,無料,202号室,2DK,44.71㎡,南
【空室1件】 レピュア大森山王,ＪＲ京浜東北・根岸線 大森駅 徒歩7分,京急本線 大森海岸駅 徒歩14分,東京都大田区山王１丁目,2015年10月(築8年),3階建,"162,000円","管理費8,000円",無料,16.2万円,無料,205号室,2LDK,60.04㎡,南
【空室1件】 マンション御殿山,ＪＲ山手線 大崎駅 徒歩5分,都営浅草線 五反田駅 徒歩13分,東京都品川区北品川５丁目,1979年12月(築44年),11階建,"186,000円",管理費0円,18.6万円,18.6万円,"88,000円",０９０５号室,2LDK,50.68㎡,東
【空室1件】 第一金子ビル,東京メトロ千代田線 綾瀬駅 徒歩5分,つくばエクスプレス 青井駅 徒歩12分,東京都足立区綾瀬４丁目,1985年1月(築38年),5階建,"90,000円","管理費5,000円",9.0万円,9.0万円,"64,000円",202号室,2DK,48.6㎡,西
【空室1件】 Ｂｅａｎ’ｓ新中野,東京メトロ丸ノ内線 新中野駅 徒歩2分,ＪＲ総武線 中野駅 徒歩14分,東京都中野区中央３丁目,2002年1月(築21年),3階建,"138,000円","管理費6,000円",13.8万円,13.8万円,"88,000円",207号室,2DK,38㎡,西
【空室1件】 ガーデンハイツたまがわ　Ａ棟,東急大井町線 尾山台駅 徒歩20分,東急東横線 田園調布駅 徒歩18分,東京都世田谷区玉堤１丁目,1988年9月(築35年),2階建,"135,000円",管理費0円,13.5万円,13.5万円,"88,000円",A3号室,2LDK,57.96㎡,南西
【空室1件】 水元ハウス,ＪＲ常磐線 金町駅 バス8分 水元総合スポーツセンター入口下車 徒歩2分,京成金町線 京成金町駅 バス8分 水元総合スポーツセンター入口下車 徒歩2分,東京都葛飾区水元３丁目,1971年1月(築52年),2階建,"133,000円","管理費5,000円",26.6万円,13.3万円,"88,000円",1号室,2LDK,53㎡,北
【空室1件】 フォレステージ浜田山,京成金町線 京成金町駅 バス8分 水元総合スポーツセンター入口下車 徒歩2分,,東京都杉並区浜田山１丁目,1996年6月(築27年),3階建,"190,000円","管理費3,000円",19.0万円,無料,"88,000円",204号室,3LDK,65.97㎡,南
